calendar_age, ci_lower, mean, ci_upper
9.2181360000e+03, 2.3256049801e-05, 3.2573558810e-04, 7.7319243121e-04
9.2276400000e+03, 2.0823095008e-05, 2.9191174062e-04, 7.2167557032e-04
9.2371440000e+03, 1.9524828402e-05, 2.6404339036e-04, 6.7543515179e-04
9.2466480000e+03, 1.7793180453e-05, 2.4175757804e-04, 6.3906176200e-04
9.2561520000e+03, 1.7662980276e-05, 2.2464521498e-04, 6.2456067128e-04
9.2656560000e+03, 1.6749575546e-05, 2.1230623690e-04, 6.1469700344e-04
9.2751600000e+03, 1.5948519271e-05, 2.0437796553e-04, 6.1317264098e-04
9.2846640000e+03, 1.7110600392e-05, 2.0055067201e-04, 6.1823229737e-04
9.2941680000e+03, 1.8024767987e-05, 2.0057413213e-04, 6.2757374566e-04
9.3036720000e+03, 1.9765458057e-05, 2.0425818949e-04, 6.3598458213e-04
9.3131760000e+03, 2.1728833980e-05, 2.1146934170e-04, 6.4311619512e-04
9.3226800000e+03, 2.4184286825e-05, 2.2212443395e-04, 6.5270736611e-04
9.3321840000e+03, 2.7813439193e-05, 2.3618186324e-04, 6.5773652048e-04
9.3416880000e+03, 3.1928278501e-05, 2.5363031467e-04, 6.6342216918e-04
9.3511920000e+03, 3.5078825891e-05, 2.7447492023e-04, 6.6971744808e-04
9.3606960000e+03, 4.1736841600e-05, 2.9872075577e-04, 6.7332985400e-04
9.3702000000e+03, 4.9877860426e-05, 3.2635368076e-04, 6.7716168371e-04
9.3797040000e+03, 6.1423232182e-05, 3.5731862817e-04, 6.8181816859e-04
9.3892080000e+03, 7.9047783285e-05, 3.9149556993e-04, 6.9093143637e-04
9.3987120000e+03, 1.0114281578e-04, 4.2867356375e-04, 7.1329519656e-04
9.4082160000e+03, 1.2824299203e-04, 4.6852360672e-04, 7.4651331841e-04
9.4177200000e+03, 1.6587858491e-04, 5.1057156602e-04, 7.8619973790e-04
9.4272240000e+03, 2.1497203755e-04, 5.5417330099e-04, 8.3564420374e-04
9.4367280000e+03, 2.7158329117e-04, 5.9849524022e-04, 8.9419261701e-04
