calendar_age, ci_lower, mean, ci_upper
9.6484000000e+02, 6.6964272934e-09, 3.3414399387e-06, 1.9347246249e-05
9.6856000000e+02, 7.9911434124e-09, 3.5525059291e-06, 2.0240562842e-05
9.7228000000e+02, 8.6287370222e-09, 3.7621227689e-06, 2.1086350597e-05
9.7600000000e+02, 1.0208676395e-08, 3.9662873409e-06, 2.2040841893e-05
9.7972000000e+02, 1.2116233573e-08, 4.1612569120e-06, 2.2506848933e-05
9.8344000000e+02, 1.5493865181e-08, 4.3441721408e-06, 2.3511271714e-05
9.8716000000e+02, 1.9582749679e-08, 4.5135263843e-06, 2.4016825565e-05
9.9088000000e+02, 2.2672835287e-08, 4.6693004436e-06, 2.4238452951e-05
9.9460000000e+02, 2.8074820973e-08, 4.8126860291e-06, 2.3897908268e-05
9.9832000000e+02, 3.4983936575e-08, 4.9454744082e-06, 2.3739414444e-05
1.0020400000e+03, 4.1436181774e-08, 5.0693202049e-06, 2.3856357742e-05
1.0057600000e+03, 5.2328820185e-08, 5.1851387414e-06, 2.4307646959e-05
1.0094800000e+03, 5.7972843817e-08, 5.2928339319e-06, 2.4613754127e-05
1.0132000000e+03, 6.8120279083e-08, 5.3914121400e-06, 2.4530252332e-05
1.0169200000e+03, 7.3557531211e-08, 5.4793815089e-06, 2.4891316738e-05
1.0206400000e+03, 8.2209915538e-08, 5.5552337508e-06, 2.5014619738e-05
1.0243600000e+03, 8.9383039755e-08, 5.6177973438e-06, 2.5760956131e-05
1.0280800000e+03, 9.5371104860e-08, 5.6663398895e-06, 2.4946580687e-05
1.0318000000e+03, 1.0230936263e-07, 5.7004451809e-06, 2.4701654835e-05
1.0355200000e+03, 1.0986144487e-07, 5.7198245656e-06, 2.4336045707e-05
1.0392400000e+03, 1.1030771132e-07, 5.7242581725e-06, 2.4329758445e-05
1.0429600000e+03, 1.0297831342e-07, 5.7137563249e-06, 2.3644625953e-05
1.0466800000e+03, 1.0714400639e-07, 5.6888378333e-06, 2.4372627193e-05
1.0504000000e+03, 1.0729391320e-07, 5.6506813109e-06, 2.4421084610e-05
1.0541200000e+03, 1.0595747101e-07, 5.6009468126e-06, 2.4721447449e-05
1.0578400000e+03, 1.0198551684e-07, 5.5412813793e-06, 2.4591143098e-05
1.0615600000e+03, 9.4433915851e-08, 5.4727566497e-06, 2.4335317051e-05
1.0652800000e+03, 8.0229074901e-08, 5.3955599974e-06, 2.4245561496e-05
1.0690000000e+03, 6.4961400833e-08, 5.3091217492e-06, 2.3805799052e-05
1.0727200000e+03, 5.6873990235e-08, 5.2126177444e-06, 2.3723118026e-05
1.0764400000e+03, 4.6791798819e-08, 5.1056014707e-06, 2.3623604785e-05
1.0801600000e+03, 3.7434943690e-08, 4.9884874215e-06, 2.2980300353e-05
1.0838800000e+03, 3.0495924451e-08, 4.8627114667e-06, 2.2600999780e-05
1.0876000000e+03, 2.7781795989e-08, 4.7305519181e-06, 2.2297162333e-05
1.0913200000e+03, 2.6907320948e-08, 4.5947223411e-06, 2.1332474600e-05
1.0950400000e+03, 2.3967747026e-08, 4.4579000607e-06, 2.0737990658e-05
1.0987600000e+03, 2.0014578592e-08, 4.3223354503e-06, 1.9882670324e-05
1.1024800000e+03, 1.8804041250e-08, 4.1896280390e-06, 1.9013733992e-05
1.1062000000e+03, 1.4982725863e-08, 4.0606910120e-06, 1.8454998283e-05
1.1099200000e+03, 1.2395473632e-08, 3.9358760686e-06, 1.7723990488e-05
1.1136400000e+03, 1.0764454999e-08, 3.8151996349e-06, 1.7045454689e-05
1.1173600000e+03, 9.3734071023e-09, 3.6985963718e-06, 1.6145354743e-05
1.1210800000e+03, 7.9700571390e-09, 3.5861268765e-06, 1.5662687359e-05
1.1248000000e+03, 7.2030074947e-09, 3.4780862153e-06, 1.5372925075e-05
1.1285200000e+03, 6.5184274025e-09, 3.3749963191e-06, 1.4804429654e-05
1.1322400000e+03, 6.0633605212e-09, 3.2775063453e-06, 1.4509808526e-05
1.1359600000e+03, 5.8011102827e-09, 3.1862534737e-06, 1.3613457488e-05
1.1396800000e+03, 5.5401037870e-09, 3.1017404015e-06, 1.3232417425e-05
1.1434000000e+03, 5.3273868324e-09, 3.0242665890e-06, 1.3146789474e-05
1.1471200000e+03, 4.9223245869e-09, 2.9539212831e-06, 1.2770875557e-05
